R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;EHC Visp;45;226;5.02;61;1.36;26.99;335:34;07:27;7;0.16
2;Lausanne HC;45;232;5.16;52;1.16;22.41;341:12;07:34;3;0.07
3;HC La Chaux-de-Fonds;45;260;5.78;58;1.29;22.31;384:49;08:33;9;0.20
4;HC Sierre;45;232;5.16;51;1.13;21.98;360:45;08:01;4;0.09
5;HC Ajoie;45;258;5.73;54;1.20;20.93;378:42;08:24;9;0.20
;Durchschnitt;40;207;5.18;43;1.08;20.77;317:28;07:56;6;0.15
6;EHC Olten;45;247;5.49;50;1.11;20.24;394:52;08:46;6;0.13
7;Hockey Thurgau;45;185;4.11;36;0.80;19.46;288:23;06:24;9;0.20
8;GCK Lions;45;214;4.76;39;0.87;18.22;336:38;07:28;10;0.22
9;EHC Basel Sharks;45;198;4.40;33;0.73;16.67;303:02;06:44;8;0.18
10;SC Langenthal;45;229;5.09;38;0.84;16.59;368:17;08:11;10;0.22
11;Neuchâtel;0;0;-;7;-;-;00:00;-;0;-
