R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;Genève-Servette HC;50;336;5;18;4;2;997
2;HC Lugano;50;327;5;13;4;1;909
3;SC Rapperswil-Jona Lakers;50;290;7;11;8;0;885
4;SCL Tigers;50;330;4;10;4;1;880
5;Kloten Flyers;50;301;3;18;4;0;877
6;EV Zug;50;317;6;7;7;0;874
7;SC Bern;50;288;8;9;7;1;866
;Durchschnitt;50;309;4;11;4;0;852
8;Fribourg-Gottéron;50;311;2;14;2;1;832
9;EHC Biel;50;321;2;8;4;0;812
10;HC Davos;50;321;2;10;3;0;812
11;HC Ambri-Piotta;50;292;4;10;4;0;784
12;ZSC Lions;50;274;2;10;2;0;698
