R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;Genève-Servette HC;50;250;5.00;33;0.66;86.8;385:33;07:42;11;0.22
2;SC Bern;50;200;4.00;28;0.56;86;324:07;06:28;4;0.08
3;EV Zug;50;229;4.58;34;0.68;85.15;370:40;07:24;6;0.12
4;HC Davos;50;256;5.12;39;0.78;84.77;409:00;08:10;10;0.20
5;EHC Biel;50;266;5.32;45;0.90;83.08;405:36;08:06;7;0.14
;Durchschnitt;50;225;4.50;40;0.80;82.22;350:43;07:00;5;0.10
6;Fribourg-Gottéron;50;228;4.56;42;0.84;81.58;367:07;07:20;6;0.12
7;Kloten Flyers;50;237;4.74;44;0.88;81.43;356:03;07:07;7;0.14
8;ZSC Lions;50;217;4.34;42;0.84;80.65;315:15;06:18;5;0.10
9;SCL Tigers;50;206;4.12;42;0.84;79.61;309:52;06:11;3;0.06
10;SC Rapperswil-Jona Lakers;50;196;3.92;42;0.84;78.57;312:42;06:15;4;0.08
11;HC Ambri-Piotta;50;214;4.28;49;0.98;77.10;327:06;06:32;3;0.06
12;HC Lugano;50;203;4.06;50;1.00;75.37;325:42;06:30;3;0.06
